,Cats,usd_amount,fee,counts,avg_fee_rate,vol_m,fee_m,avg_vol_usd,avg_fee_usd
8,ALT-ALT,15915749587.645906,31643810.543513536,269279,0.1988207364614233,15915.749587645907,31.643810543513535,59105.053077462064,117.51310181452521
6,ETH-ALT,9891637842.734743,17043147.153838426,186306,0.17229853563994316,9891.637842734743,17.043147153838426,53093.5012438394,91.47932516311029
3,STABLE-ALT,4505892823.061036,9519468.69636321,106574,0.2112670911221596,4505.892823061036,9.51946869636321,42279.475510547,89.32261805283851
1,STABLE-ETH,2005785924.315123,3191776.6783186197,26389,0.15912848124150905,2005.785924315123,3.19177667831862,76008.40972811107,120.95102801616657
0,STABLE-STABLE,41869437.3715082,81144.44050673865,1035,0.1938035130177239,41.869437371508205,0.08114444050673865,40453.5626777857,78.4004256103755
7,BTC-ALT,30740901.53189186,60756.44781152389,1461,0.1976404229670775,30.74090153189186,0.06075644781152389,21041.000364060135,41.58552211603278
5,ETH-BTC,12295659.969161628,18933.312086753547,401,0.15398369940482748,12.295659969161628,0.018933312086753546,30662.493688682363,47.21524211160486
2,STABLE-BTC,4536259.100407105,8985.986789779521,233,0.19809244998754758,4.536259100407105,0.008985986789779521,19468.923177712895,38.56646690892498
4,ETH-ETH,2260561.2142738844,2387.6299285626947,55,0.10562111361932865,2.2605612142738845,0.0023876299285626947,41101.112986797896,43.41145324659445
